Expiry Time,Risk-Free Rate,Volatility,Strike Price,Original Method Price,Optimized Method Price,Basis,Call Flag,Original Computation Time,Optimized Computation Time
1,0.03,0.1,120,0.218078,0.321517,2,1,9.05959,73.7187
1,0.03,0.1,150,0,0.000183824,0,1,3.54812,47.2913
1,0.03,0.1,150,0,0,1,1,3.54812,76.8442
1,0.03,0.1,150,0,0.000914751,2,1,3.54812,74.2613
1,0.03,0.1,98,1.99492,1.9347,0,0,23.8334,26.1117
1,0.03,0.1,98,1.99492,1.89294,1,0,23.8334,40.9675
1,0.03,0.1,98,1.99492,1.89297,2,0,23.8334,36.6202
1,0.03,0.1,95,1.119,1.11401,0,0,19.1438,21.0609
1,0.03,0.1,95,1.119,1.12275,1,0,19.1438,32.7342
1,0.03,0.1,95,1.119,1.09932,2,0,19.1438,28.4015
1,0.03,0.1,90,0.368364,0.356713,0,0,13.7877,15.4205
1,0.03,0.1,90,0.368364,0.356461,1,0,13.7877,23.216
1,0.03,0.1,90,0.368364,0.275091,2,0,13.7877,18.7735
1,0.03,0.1,80,0.0111542,0.014265,0,0,4.47877,4.90024
1,0.03,0.1,80,0.0111542,0.0133739,1,0,4.47877,5.1532
1,0.03,0.1,80,0.0111542,0.0045346,2,0,4.47877,4.68879
1,0.03,0.1,50,0,0,0,0,3.53505,4.01622
1,0.03,0.1,50,0,0,1,0,3.53505,4.02028
1,0.03,0.1,50,0,0,2,0,3.53505,4.03151
1,0.03,0.2,102,8.13906,8.39769,0,1,28.3566,34.1562
1,0.03,0.2,102,8.13906,8.69498,1,1,28.3566,54.21
1,0.03,0.2,102,8.13906,8.57681,2,1,28.3566,50.381
1,0.03,0.2,105,6.42005,7.19832,0,1,25.1046,36.8616
1,0.03,0.2,105,6.42005,7.12585,1,1,25.1046,59.3329
1,0.03,0.2,105,6.42005,7.21091,2,1,25.1046,56.9259
1,0.03,0.2,110,4.5248,5.20976,1,1,23.2741,70.1861
1,0.03,0.2,110,4.5248,5.15721,2,1,23.2741,64.6101
1,0.03,0.2,110,4.5248,5.33559,0,1,23.2741,40.3496
1,0.03,0.2,120,2.35732,2.75708,0,1,16.0909,44.1915
1,0.03,0.2,120,2.35732,2.72988,1,1,16.0909,71.8805
1,0.03,0.2,120,2.35732,2.82177,2,1,16.0909,68.8746
1,0.03,0.2,150,0.210057,0.269616,0,1,6.2095,46.9241
1,0.03,0.2,150,0.210057,0.273242,1,1,6.2095,76.3881
1,0.03,0.2,150,0.210057,0.262531,2,1,6.2095,73.6813
1,0.03,0.2,98,6.06666,5.57038,0,0,27.5185,29.4729
1,0.03,0.2,98,6.06666,5.74162,1,0,27.5185,47.1702
1,0.03,0.2,98,6.06666,5.56938,2,0,27.5185,42.8183
1,0.03,0.2,95,4.80646,4.17883,2,0,24.619,37.2681
1,0.03,0.2,95,4.80646,4.42668,1,0,24.619,41.9288
1,0.03,0.2,95,4.80646,4.41187,0,0,24.619,26.487
1,0.03,0.2,90,2.79318,2.71095,0,0,20.3845,22.0199
1,0.03,0.2,90,2.79318,2.6537,1,0,20.3845,34.3946
1,0.03,0.2,90,2.79318,2.47116,2,0,20.3845,29.7987
1,0.03,0.2,80,0.805654,0.858959,0,0,13.847,15.6084
1,0.03,0.2,80,0.805654,0.798846,1,0,13.847,22.4742
1,0.03,0.2,80,0.805654,0.69226,2,0,13.847,19.2371
1,0.03,0.2,50,5.56929e-05,0.000622697,0,0,3.5781,4.04104
1,0.03,0.2,50,5.56929e-05,0.00026749,1,0,3.5781,4.05961
1,0.03,0.2,50,5.56929e-05,0.00011983,2,0,3.5781,4.03284
1,0.03,0.3,102,12.2153,12.2187,0,1,28.283,34.1571
1,0.03,0.3,102,12.2153,12.279,1,1,28.283,54.6031
1,0.03,0.3,102,12.2153,12.0676,2,1,28.283,51.1499
1,0.03,0.3,105,9.98809,10.8829,0,1,26.3322,36.2323
1,0.03,0.3,105,9.98809,11.2972,1,1,26.3322,58.1851
1,0.03,0.3,105,9.98809,10.8785,2,1,26.3322,54.9279
1,0.03,0.3,110,8.05501,9.2854,0,1,23.4659,38.8087
1,0.03,0.3,110,8.05501,9.10506,1,1,23.4659,62.8548
1,0.03,0.3,110,8.05501,9.35514,2,1,23.4659,59.086
1,0.03,0.3,120,4.92653,6.3366,0,1,19.0629,42.3948
1,0.03,0.3,120,4.92653,6.32409,1,1,19.0629,68.662
1,0.03,0.3,120,4.92653,6.75002,2,1,19.0629,65.3497
1,0.03,0.3,150,1.61396,1.81231,0,1,11.8939,46.2393
1,0.03,0.3,150,1.61396,1.88331,1,1,11.8939,75.1492
1,0.03,0.3,150,1.61396,1.76757,2,1,11.8939,72.5274
1,0.03,0.3,98,10.1842,9.44389,0,0,29.0741,31.2145
1,0.03,0.3,98,10.1842,9.1781,1,0,29.0741,49.0748
1,0.03,0.3,98,10.1842,9.47484,2,0,29.0741,46.054
1,0.03,0.3,95,8.68412,8.14599,0,0,26.9301,28.8616
1,0.03,0.3,95,8.68412,8.04482,1,0,26.9301,45.921
1,0.03,0.3,95,8.68412,7.47092,2,0,26.9301,41.3934
1,0.03,0.3,90,6.46309,6.09853,0,0,23.6063,25.4941
1,0.03,0.3,90,6.46309,5.98266,1,0,23.6063,40.2399
1,0.03,0.3,90,6.46309,5.65446,2,0,23.6063,35.997
1,0.03,0.3,80,2.77389,2.81393,0,0,19.7702,19.7915
1,0.03,0.3,80,2.77389,2.9309,1,0,19.7702,30.4729
1,0.03,0.3,80,2.77389,2.59334,2,0,19.7702,26.1655
1,0.03,0.3,50,0.0341371,0.0272933,0,0,4.91159,5.05624
1,0.03,0.3,50,0.0341371,0.0371372,1,0,4.91159,5.96628
1,0.03,0.3,50,0.0341371,0.0108195,2,0,4.91159,5.34787
1,0.03,0.4,102,14.9818,16.2803,0,1,28.3304,34.344
1,0.03,0.4,102,14.9818,16.3025,1,1,28.3304,55.2942
1,0.03,0.4,102,14.9818,16.2834,2,1,28.3304,51.121
1,0.03,0.4,105,12.9012,15.3782,0,1,26.4691,35.8747
1,0.03,0.4,105,12.9012,14.8503,1,1,26.4691,57.5816
1,0.03,0.4,105,12.9012,14.9529,2,1,26.4691,53.9732
1,0.03,0.4,110,11.0969,13.1612,2,1,24.081,58.1711
1,0.03,0.4,110,11.0969,13.5202,0,1,24.081,38.0067
1,0.03,0.4,110,11.0969,13.1645,1,1,24.081,61.3379
1,0.03,0.4,120,8.4791,10.1972,0,1,20.7655,41.1808
1,0.03,0.4,120,8.4791,10.5146,1,1,20.7655,67.2452
1,0.03,0.4,120,8.4791,10.4617,2,1,20.7655,63.2924
1,0.03,0.4,150,3.97293,4.4983,0,1,14.586,45.3278
1,0.03,0.4,150,3.97293,4.65655,1,1,14.586,73.6059
1,0.03,0.4,150,3.97293,4.40643,2,1,14.586,70.73
1,0.03,0.4,98,14.3435,13.181,1,0,30.1902,51.1732
1,0.03,0.4,98,14.3435,13.0999,2,0,30.1902,46.9781
1,0.03,0.4,98,14.3435,13.1556,0,0,30.1902,32.4232
1,0.03,0.4,95,12.5553,11.5603,0,0,29.1843,30.259
1,0.03,0.4,95,12.5553,11.399,1,0,29.1843,48.5357
1,0.03,0.4,95,12.5553,11.4868,2,0,29.1843,44.3823
1,0.03,0.4,90,9.96411,9.26205,0,0,25.7852,27.4778
1,0.03,0.4,90,9.96411,9.27089,1,0,25.7852,43.5074
1,0.03,0.4,90,9.96411,8.85622,2,0,25.7852,39.508
1,0.03,0.4,80,5.618,5.58164,0,0,20.7295,22.8472
1,0.03,0.4,80,5.618,5.6391,1,0,20.7295,35.6701
1,0.03,0.4,80,5.618,5.25287,2,0,20.7295,31.3469
1,0.03,0.4,50,0.399807,0.39043,0,0,9.60554,10.6161
1,0.03,0.4,50,0.399807,0.405486,1,0,9.60554,15.1197
1,0.03,0.4,50,0.399807,0.190993,2,0,9.60554,11.9716
1,0.03,0.5,102,17.1934,20.4385,0,1,27.8185,34.6692
1,0.03,0.5,102,17.1934,20.1872,1,1,27.8185,55.4153
1,0.03,0.5,102,17.1934,19.8564,2,1,27.8185,51.9062
1,0.03,0.5,105,16.5685,18.6391,0,1,26.6618,35.9752
1,0.03,0.5,105,16.5685,18.6693,1,1,26.6618,57.7242
1,0.03,0.5,105,16.5685,19.1249,2,1,26.6618,54.0642
1,0.03,0.5,110,12.6029,17.455,0,1,24.5204,37.5602
1,0.03,0.5,110,12.6029,17.0936,1,1,24.5204,60.7265
1,0.03,0.5,110,12.6029,16.8289,2,1,24.5204,57.2676
1,0.03,0.5,120,10.5928,13.8169,0,1,21.533,40.4303
1,0.03,0.5,120,10.5928,14.0421,1,1,21.533,65.0983
1,0.03,0.5,120,10.5928,13.8495,2,1,21.533,62.112
1,0.03,0.5,150,6.60005,8.03107,0,1,16.2228,44.427
1,0.03,0.5,150,6.60005,8.14885,1,1,16.2228,72.086
1,0.03,0.5,150,6.60005,7.60401,2,1,16.2228,69.486
1,0.03,0.5,98,17.6986,16.9143,1,0,30.9383,52.1563
1,0.03,0.5,98,17.6986,16.999,0,0,30.9383,32.9552
1,0.03,0.5,98,17.6986,16.8792,2,0,30.9383,48.5678
1,0.03,0.5,95,15.8888,15.4241,0,0,29.6453,31.6222
1,0.03,0.5,95,15.8888,15.2661,1,0,29.6453,50.0246
1,0.03,0.5,95,15.8888,15.0383,2,0,29.6453,46.2994
1,0.03,0.5,90,13.3148,12.692,0,0,27.1594,29.1461
1,0.03,0.5,90,13.3148,12.8801,1,0,27.1594,46.4497
1,0.03,0.5,90,13.3148,12.5143,2,0,27.1594,42.6099
1,0.03,0.5,80,8.7591,8.45904,0,0,23.0653,24.9897
1,0.03,0.5,80,8.7591,8.54124,1,0,23.0653,39.219
1,0.03,0.5,80,8.7591,8.03205,2,0,23.0653,34.9129
1,0.03,0.5,50,0.892796,1.19789,0,0,12.5447,14.0714
1,0.03,0.5,50,0.892796,1.07561,1,0,12.5447,20.4233
1,0.03,0.5,50,0.892796,0.814851,2,0,12.5447,16.7569
1,0.05,0.1,102,5.34831,5.61,0,1,29.5645,32.8475
1,0.05,0.1,102,5.34831,5.66274,1,1,29.5645,52.7264
1,0.05,0.1,102,5.34831,5.66215,2,1,29.5645,48.4319
1,0.05,0.1,105,3.85973,4.05465,0,1,24.4312,37.8954
1,0.05,0.1,105,3.85973,4.12465,1,1,24.4312,60.9524
1,0.05,0.1,105,3.85973,4.17257,2,1,24.4312,57.5377
1,0.05,0.1,110,1.68018,2.07503,0,1,17.7284,42.9888
1,0.05,0.1,110,1.68018,2.21216,1,1,17.7284,69.2816
1,0.05,0.1,110,1.68018,2.10584,2,1,17.7284,66.3975
1,0.05,0.1,120,0.341214,0.505464,0,1,10.2805,46.3665
1,0.05,0.1,120,0.341214,0.474523,1,1,10.2805,75.6079
1,0.05,0.1,120,0.341214,0.477424,2,1,10.2805,72.8207
1,0.05,0.1,150,0.000455869,0.000114066,0,1,3.57107,47.1022
1,0.05,0.1,150,0.000455869,0,1,1,3.57107,76.9505
1,0.05,0.1,150,0.000455869,0,2,1,3.57107,74.3242
1,0.05,0.1,98,1.62561,1.38963,0,0,22.7143,24.6074
1,0.05,0.1,98,1.62561,1.40077,1,0,22.7143,38.5618
1,0.05,0.1,98,1.62561,1.28202,2,0,22.7143,34.2428
1,0.05,0.1,95,0.864727,0.801505,0,0,18.3698,20.2226
1,0.05,0.1,95,0.864727,0.758217,1,0,18.3698,30.9931
1,0.05,0.1,95,0.864727,0.717398,2,0,18.3698,26.6219
1,0.05,0.1,90,0.244473,0.229553,0,0,13.2274,14.7092
1,0.05,0.1,90,0.244473,0.219051,1,0,13.2274,20.967
1,0.05,0.1,90,0.244473,0.159747,2,0,13.2274,17.8231
1,0.05,0.1,80,0.00240792,0.00928867,0,0,3.98602,4.41268
1,0.05,0.1,80,0.00240792,0.00466145,1,0,3.98602,4.45362
1,0.05,0.1,80,0.00240792,0.00314528,2,0,3.98602,4.41714
1,0.05,0.1,50,0,0,0,0,3.53846,4.01569
1,0.05,0.1,50,0,0,1,0,3.53846,4.02215
1,0.05,0.1,50,0,0,2,0,3.53846,4.01436
1,0.05,0.2,102,9.45545,9.23754,1,1,29.294,53.5566
1,0.05,0.2,102,9.45545,9.66759,0,1,29.294,33.114
1,0.05,0.2,102,9.45545,9.62453,2,1,29.294,48.909
1,0.05,0.2,105,7.75038,8.11379,0,1,26.7197,36.1708
1,0.05,0.2,105,7.75038,7.88522,1,1,26.7197,57.8283
1,0.05,0.2,105,7.75038,8.10868,2,1,26.7197,54.5628
1,0.05,0.2,110,5.34778,6.11263,0,1,23.0047,39.6175
1,0.05,0.2,110,5.34778,6.04072,1,1,23.0047,63.9282
1,0.05,0.2,110,5.34778,6.11105,2,1,23.0047,60.8782
1,0.05,0.2,120,2.83756,3.32551,0,1,16.6677,43.8655
1,0.05,0.2,120,2.83756,3.12094,1,1,16.6677,71.4954
1,0.05,0.2,120,2.83756,3.30911,2,1,16.6677,68.2502
1,0.05,0.2,150,0.344273,0.398383,0,1,7.37489,46.869
1,0.05,0.2,150,0.344273,0.375489,1,1,7.37489,76.311
1,0.05,0.2,150,0.344273,0.346984,2,1,7.37489,73.6635
1,0.05,0.2,98,5.56445,4.72109,0,0,26.7569,28.7468
1,0.05,0.2,98,5.56445,4.73653,1,0,26.7569,45.6539
1,0.05,0.2,98,5.56445,4.77513,2,0,26.7569,41.1683
1,0.05,0.2,95,4.28448,3.74505,0,0,23.82,25.8494
1,0.05,0.2,95,4.28448,3.63579,1,0,23.82,40.627
1,0.05,0.2,95,4.28448,3.50919,2,0,23.82,36.0754
1,0.05,0.2,90,2.51167,2.22098,2,0,19.5429,28.9897
1,0.05,0.2,90,2.51167,2.22288,0,0,19.5429,21.4243
1,0.05,0.2,90,2.51167,2.29246,1,0,19.5429,33.8
1,0.05,0.2,80,0.678903,0.708863,0,0,13.5976,15.3105
1,0.05,0.2,80,0.678903,0.684423,1,0,13.5976,22.1776
1,0.05,0.2,80,0.678903,0.518429,2,0,13.5976,18.5619
1,0.05,0.2,50,0.000136911,0.000334917,0,0,3.57,4.02454
1,0.05,0.2,50,0.000136911,0.000105091,1,0,3.57,4.02734
1,0.05,0.2,50,0.000136911,4.51225e-05,2,0,3.57,4.01377
1,0.05,0.3,102,12.753,13.3019,0,1,28.8465,33.6315
